FP2-F4 ,F4 -C4 ,C4 -P4 ,P4 -O2 ,FP2-F8 ,F8 -T4 ,T4 -T6 ,T6 -O2 ,FP1-F3 ,F3 -C3 ,C3 -P3 ,P3 -O1 ,FP1-F7 ,F7 -T3 ,T3 -T5 ,T5 -O1 ,T6 -A1 ,O1 -A1 ,O2 -A1 
13,-19,21,-344,13,-6,-18,-317,5,1,9,2,-16,39,24,-28,1,-4,320
9,-18,21,-349,9,1,-25,-322,0,-1,10,6,-11,29,25,-25,0,-1,323
5,-15,19,-350,5,5,-27,-323,-4,-3,11,8,-9,21,24,-23,-4,3,320
1,-10,16,-348,2,6,-28,-321,-7,-5,12,6,-11,17,22,-21,-7,8,315
-2,-6,14,-345,0,5,-27,-316,-12,-4,12,1,-17,16,20,-20,-9,12,308
-3,-3,14,-343,0,2,-26,-311,-14,-2,14,-8,-23,16,19,-21,-10,13,302
-3,-2,15,-340,1,-1,-23,-306,-14,0,16,-18,-28,18,19,-23,-11,13,296
-2,-3,18,-336,3,-5,-20,-302,-11,4,17,-26,-28,19,21,-25,-11,11,292
-3,-4,18,-329,3,-7,-20,-295,-5,8,19,-33,-24,18,22,-26,-9,8,287
-6,-5,14,-317,0,-8,-19,-287,2,9,21,-37,-17,18,19,-24,-10,2,278
-9,-5,8,-304,-2,-10,-19,-279,10,7,22,-38,-12,21,13,-20,-14,-7,266
-11,-3,2,-294,-5,-10,-21,-269,18,3,19,-34,-10,27,9,-19,-17,-14,253
-12,0,-2,-286,-6,-8,-24,-260,24,-3,16,-30,-12,35,7,-21,-16,-18,245
-11,2,-3,-282,-6,-8,-26,-253,27,-8,11,-23,-17,42,8,-24,-12,-17,242
-10,1,2,-282,-6,-9,-23,-251,25,-9,5,-14,-21,45,12,-27,-8,-14,243
-9,-4,11,-285,-8,-8,-20,-251,20,-6,2,-4,-25,46,17,-25,-3,-13,249
-9,-11,21,-289,-11,-5,-17,-255,15,-3,1,10,-29,46,21,-15,-1,-19,254
-8,-18,30,-293,-12,-3,-12,-262,14,-1,2,23,-29,46,21,0,-6,-31,256
-8,-20,37,-297,-10,0,-4,-272,20,-1,5,32,-25,48,20,13,-17,-46,255
-7,-17,40,-300,-7,3,2,-281,27,-2,8,38,-22,51,19,23,-30,-60,251
-7,-9,38,-302,-3,3,6,-286,33,-4,9,39,-21,56,18,26,-38,-66,249
-8,1,31,-301,3,0,7,-287,36,-6,8,34,-23,64,12,22,-38,-61,249
-9,8,21,-299,7,-4,4,-285,33,-4,6,26,-25,70,5,12,-33,-47,253
-10,11,11,-297,8,-8,-3,-282,24,0,4,19,-29,74,-1,3,-23,-33,259
-10,10,3,-296,10,-12,-12,-278,13,3,5,13,-34,77,-5,-4,-11,-22,268
-7,4,-1,-294,14,-17,-21,-274,6,5,8,7,-37,78,-5,-9,1,-16,275
-1,-3,-3,-291,17,-21,-26,-269,1,5,14,0,-37,73,1,-15,10,-14,279
4,-10,-6,-286,16,-23,-28,-262,0,4,21,-5,-37,66,11,-18,16,-17,278
7,-12,-10,-277,12,-22,-29,-252,3,0,26,-6,-37,60,21,-19,19,-24,271
9,-13,-11,-268,6,-19,-30,-241,11,-6,30,-8,-37,58,25,-19,19,-32,260
10,-14,-11,-264,0,-14,-29,-236,19,-11,33,-11,-35,59,23,-17,13,-40,250
8,-14,-9,-264,-6,-9,-27,-238,26,-13,34,-14,-32,62,16,-12,4,-47,242
6,-13,-5,-271,-10,-4,-23,-246,29,-12,34,-16,-29,66,7,-8,-5,-51,241
6,-12,1,-281,-10,0,-17,-258,28,-8,32,-19,-27,67,0,-5,-13,-48,245
8,-10,6,-290,-8,3,-11,-269,24,-1,27,-20,-26,66,-4,-5,-18,-40,251
9,-7,9,-293,-8,9,-8,-275,17,4,20,-17,-29,63,-4,-7,-20,-32,256
8,-4,10,-292,-11,17,-6,-277,9,6,14,-13,-35,63,-1,-11,-18,-22,259
7,-3,10,-284,-14,24,-6,-274,3,4,11,-10,-41,64,2,-16,-14,-11,260
6,-5,11,-270,-15,29,-7,-265,0,1,12,-10,-45,65,3,-20,-10,-4,256
6,-9,12,-255,-16,30,-6,-254,1,-3,16,-11,-47,66,3,-20,-9,-3,245
6,-11,15,-241,-13,27,-4,-240,3,-6,20,-14,-47,66,1,-15,-11,-8,229
8,-10,19,-229,-7,22,-3,-224,5,-6,25,-18,-44,64,-4,-10,-16,-13,208
10,-6,23,-221,0,19,-5,-207,6,-4,31,-25,-42,62,-8,-3,-22,-20,185
10,0,26,-219,4,19,-11,-195,5,-4,38,-32,-42,60,-13,1,-27,-26,169
6,7,26,-221,5,22,-20,-189,1,-3,42,-41,-45,59,-16,1,-26,-25,163
0,15,23,-223,4,27,-28,-188,-5,-2,46,-50,-49,58,-17,-3,-22,-18,166
-7,22,17,-222,1,34,-34,-190,-10,0,52,-57,-52,57,-14,-6,-19,-13,172
-13,28,12,-218,-3,40,-36,-192,-13,4,59,-61,-54,57,-10,-3,-19,-16,173
-18,30,10,-212,-6,42,-33,-191,-14,9,64,-62,-56,57,-5,1,-21,-21,170
-21,29,12,-204,-9,39,-28,-187,-13,12,66,-63,-58,58,-1,5,-24,-27,162
-20,22,18,-198,-9,32,-24,-178,-10,11,67,-63,-60,58,0,7,-26,-31,152
-15,2,32,-195,-6,23,-23,-170,-6,6,64,-62,-61,58,-1,6,-23,-29,147
-8,-33,57,-196,-1,14,-24,-168,-4,0,56,-60,-62,55,-5,4,-15,-20,153
0,-81,91,-199,4,7,-27,-171,-3,-8,46,-55,-59,50,-10,0,-3,-7,168
6,-136,131,-205,8,1,-32,-182,-3,-16,38,-51,-55,44,-18,-1,10,8,192
7,-191,174,-213,10,-1,-34,-198,-3,-21,34,-48,-50,40,-28,1,21,20,218
4,-237,215,-225,8,-1,-34,-215,-6,-23,31,-45,-48,37,-34,3,26,27,241
-2,-264,247,-239,5,0,-32,-231,-10,-24,29,-41,-48,35,-35,3,25,28,256
-7,-274,267,-255,3,3,-31,-244,-16,-24,30,-38,-52,33,-31,2,19,25,263
-11,-273,278,-270,1,7,-32,-254,-24,-23,33,-35,-57,29,-23,2,10,17,264
-11,-270,281,-280,0,13,-31,-261,-33,-22,39,-30,-60,24,-14,5,-2,5,259
-5,-266,279,-282,2,17,-29,-265,-40,-22,45,-24,-64,21,-7,9,-15,-6,250
4,-263,273,-281,6,18,-25,-267,-44,-25,51,-20,-68,22,-3,12,-25,-16,242
13,-260,264,-280,12,15,-20,-269,-43,-29,56,-17,-71,25,-1,13,-33,-21,236
21,-256,257,-278,19,10,-13,-272,-39,-32,57,-17,-73,30,0,12,-38,-22,233
26,-250,253,-279,25,5,-6,-273,-34,-33,55,-18,-75,35,0,10,-38,-16,235
26,-241,251,-281,28,1,-2,-272,-28,-30,51,-22,-76,40,-1,10,-32,-8,240
21,-233,249,-280,26,0,-1,-268,-22,-24,49,-28,-77,43,-7,15,-23,-1,245
13,-225,247,-274,21,2,-2,-260,-18,-17,48,-35,-77,47,-16,23,-13,5,247
5,-217,241,-264,16,6,-7,-250,-19,-10,46,-39,-78,49,-24,31,-4,8,245
-1,-209,230,-253,15,7,-13,-241,-25,-6,45,-40,-79,48,-29,34,0,8,241
-3,-202,218,-244,18,5,-17,-237,-31,-6,44,-39,-79,45,-32,35,0,7,237
-1,-197,206,-239,22,3,-20,-236,-38,-10,43,-36,-76,37,-33,34,-2,6,233
5,-195,196,-234,27,0,-22,-235,-42,-16,42,-31,-72,25,-32,33,-5,7,230
10,-196,186,-230,29,-3,-22,-233,-40,-25,38,-25,-69,14,-31,32,-4,11,229
14,-194,175,-226,29,-7,-23,-230,-35,-35,31,-20,-68,7,-31,34,0,17,229
15,-190,162,-217,25,-9,-24,-223,-29,-42,24,-16,-68,3,-33,36,8,23,230
13,-186,150,-206,21,-9,-26,-214,-27,-45,17,-13,-71,2,-35,36,19,31,232
11,-179,140,-194,21,-11,-26,-206,-28,-45,14,-12,-75,3,-35,35,30,39,235
9,-173,133,-184,22,-13,-24,-200,-33,-42,18,-17,-76,5,-35,32,37,42,236
7,-168,131,-177,24,-14,-22,-196,-41,-36,28,-26,-73,3,-34,30,39,41,234
4,-166,133,-177,24,-14,-22,-193,-51,-28,39,-39,-71,-2,-31,25,39,40,232
1,-164,137,-182,24,-16,-23,-194,-59,-19,47,-51,-70,-7,-27,23,39,39,233
-5,-163,141,-191,21,-18,-24,-197,-65,-10,52,-58,-69,-11,-25,25,36,35,233
-16,-162,144,-199,11,-20,-25,-199,-69,-3,53,-58,-71,-14,-24,31,34,30,233
-31,-160,145,-202,-2,-22,-26,-198,-69,-2,49,-51,-75,-13,-24,39,33,24,230
-43,-157,140,-199,-15,-23,-26,-194,-67,-6,45,-41,-80,-7,-26,46,32,16,226
-53,-153,132,-193,-27,-24,-26,-190,-65,-12,43,-31,-84,-2,-27,49,31,9,221
-59,-150,123,-186,-33,-23,-29,-187,-64,-19,42,-25,-86,-3,-25,48,31,5,218
-61,-148,113,-180,-33,-22,-34,-187,-67,-23,40,-24,-86,-8,-24,44,33,8,220
-60,-147,105,-177,-29,-23,-38,-190,-70,-23,34,-24,-84,-11,-26,38,35,13,224
-62,-146,100,-176,-25,-27,-39,-193,-73,-17,26,-25,-81,-13,-28,33,33,18,226
-68,-145,97,-179,-24,-36,-39,-196,-75,-9,17,-27,-80,-15,-28,29,31,21,226
-81,-145,95,-181,-30,-47,-39,-196,-79,-1,9,-29,-85,-18,-24,27,29,22,224
-98,-147,93,-182,-46,-58,-38,-193,-89,4,4,-33,-101,-24,-16,27,27,20,219
-122,-149,89,-182,-69,-68,-40,-188,-108,5,4,-40,-127,-36,-6,30,26,14,213
-150,-154,84,-181,-97,-76,-43,-184,-136,3,9,-51,-158,-56,5,34,24,8,207
-184,-158,78,-177,-131,-83,-44,-183,-172,-1,15,-61,-192,-75,10,38,19,1,201
-223,-159,72,-173,-166,-90,-42,-186,-212,-4,19,-68,-228,-83,8,38,9,-5,195
-260,-157,67,-170,-198,-96,-38,-189,-251,-6,21,-72,-261,-81,-2,35,0,-10,188
-292,-156,64,-167,-224,-103,-34,-189,-286,-5,21,-72,-287,-71,-15,29,-7,-15,181
-313,-156,61,-164,-243,-111,-32,-187,-314,-4,19,-68,-304,-60,-27,24,-11,-19,175
-322,-158,57,-164,-252,-119,-32,-184,-333,-5,17,-61,-314,-52,-39,24,-9,-21,175
-320,-162,54,-166,-254,-125,-35,-179,-344,-7,17,-53,-318,-50,-48,29,-4,-25,175
-311,-167,52,-168,-252,-126,-41,-175,-345,-11,17,-48,-316,-52,-54,35,-1,-29,173
-299,-169,50,-170,-247,-125,-46,-171,-339,-15,15,-44,-309,-56,-56,38,0,-33,171
-287,-167,49,-172,-240,-122,-48,-168,-327,-18,10,-41,-301,-58,-56,38,0,-35,168
-275,-163,48,-173,-232,-117,-52,-162,-308,-22,1,-39,-291,-56,-55,33,1,-35,163
-265,-156,46,-172,-223,-113,-57,-154,-284,-25,-10,-34,-277,-50,-54,28,5,-35,158
-257,-146,44,-173,-211,-114,-60,-147,-258,-29,-22,-28,-261,-45,-55,24,11,-34,158
-248,-135,41,-177,-195,-118,-61,-144,-234,-31,-28,-21,-241,-40,-56,23,19,-31,163
-238,-125,39,-182,-177,-122,-59,-147,-213,-32,-26,-17,-220,-36,-56,24,25,-30,171
-224,-116,37,-184,-159,-123,-56,-150,-196,-30,-17,-16,-201,-31,-53,26,24,-32,173
-205,-110,36,-181,-141,-119,-50,-149,-182,-26,-3,-18,-183,-23,-49,26,19,-34,168
-179,-107,36,-174,-123,-111,-42,-148,-170,-19,10,-24,-169,-14,-42,23,12,-33,160
-150,-107,37,-166,-105,-99,-35,-146,-156,-12,19,-30,-157,-4,-35,17,4,-30,150
-122,-107,38,-157,-90,-84,-32,-143,-140,-6,21,-35,-148,8,-30,11,-1,-24,141
-99,-105,39,-149,-77,-67,-31,-139,-122,1,17,-38,-138,19,-26,4,-1,-14,138
-83,-101,42,-145,-68,-50,-30,-139,-102,8,12,-38,-125,27,-22,2,2,-6,140
-70,-93,46,-142,-60,-31,-31,-138,-81,14,10,-33,-110,33,-18,4,5,-5,142
-58,-85,49,-138,-53,-11,-34,-134,-59,16,13,-27,-91,37,-14,11,10,-7,143
-42,-77,52,-133,-42,6,-35,-130,-36,17,21,-21,-69,40,-10,20,13,-14,143
-21,-69,54,-134,-23,17,-36,-129,-15,17,28,-16,-47,41,-8,29,15,-22,144
6,-62,53,-140,2,24,-38,-131,3,18,32,-11,-25,41,-7,33,18,-28,148
33,-57,50,-147,28,27,-40,-135,20,18,32,-8,-4,40,-7,32,21,-27,156
61,-55,46,-151,54,28,-41,-140,32,20,29,-8,13,41,-8,27,25,-20,164
88,-55,41,-150,76,30,-42,-140,41,22,23,-7,25,45,-10,18,30,-10,170
112,-57,37,-143,90,36,-43,-135,45,24,17,-5,31,51,-13,12,38,4,173
131,-61,32,-131,97,43,-39,-130,48,26,14,-2,36,56,-16,10,45,15,174
145,-62,26,-119,99,49,-33,-126,52,28,13,3,40,62,-18,11,48,21,173
155,-60,21,-111,100,54,-25,-124,55,32,13,8,47,64,-18,16,49,21,172
162,-55,21,-111,100,57,-17,-124,59,36,13,13,55,63,-18,21,48,19,172
169,-49,24,-116,101,60,-9,-123,66,40,11,16,63,59,-17,27,45,14,168
176,-44,31,-120,105,61,-6,-117,73,39,8,19,68,56,-16,32,44,11,161
183,-41,40,-125,111,62,-7,-110,80,35,2,23,69,51,-16,35,45,10,155
187,-39,44,-129,116,65,-10,-107,85,26,-3,25,66,46,-16,36,46,11,153
189,-37,43,-132,119,66,-14,-109,87,16,-5,24,61,42,-14,34,46,13,155
187,-32,35,-133,124,67,-17,-116,87,9,-3,20,58,39,-12,27,46,18,162
185,-25,25,-137,129,68,-21,-127,85,6,0,14,58,37,-10,20,45,24,171
185,-19,18,-143,134,68,-25,-136,81,6,5,7,59,35,-8,13,44,27,179
186,-16,17,-146,140,69,-28,-139,77,9,8,1,60,34,-8,9,42,28,180
188,-14,19,-143,147,69,-31,-135,75,10,11,-4,59,34,-10,8,40,26,175
191,-13,19,-139,155,68,-34,-130,77,7,12,-8,57,36,-14,10,38,24,167
192,-11,20,-134,161,66,-34,-126,77,4,14,-11,52,39,-20,11,34,21,159
194,-9,18,-128,165,67,-33,-124,75,3,14,-15,46,46,-26,12,29,21,152
198,-6,12,-121,168,69,-30,-124,72,2,13,-15,41,49,-27,10,25,23,148
203,-2,6,-116,172,71,-25,-125,69,3,11,-12,40,46,-24,9,22,26,147
209,-1,5,-113,175,72,-20,-127,63,7,9,-4,41,39,-18,12,19,25,145
215,-3,5,-108,177,73,-15,-126,57,11,5,6,42,28,-9,18,16,20,141
216,-7,5,-103,176,71,-11,-123,51,14,3,15,43,16,-1,25,13,13,135
213,-12,5,-97,172,65,-9,-118,45,16,4,19,45,5,4,32,11,6,129
206,-18,6,-92,164,57,-10,-108,37,18,6,18,45,-4,4,35,12,1,120
196,-25,8,-86,152,50,-14,-95,29,18,5,15,44,-9,1,32,14,-1,109
185,-28,9,-81,141,45,-18,-83,25,13,3,14,42,-10,-1,25,17,-1,99
172,-27,12,-79,132,40,-20,-74,26,5,1,17,40,-8,-4,21,21,-1,94
163,-23,14,-79,127,36,-21,-67,30,-2,-3,25,37,-1,-8,22,28,-3,94
157,-14,16,-82,128,34,-23,-62,37,-6,-9,34,33,10,-13,26,36,-6,97
156,-3,17,-90,131,35,-24,-62,47,-6,-13,38,31,20,-18,33,42,-10,103
159,9,14,-100,135,35,-22,-67,54,-1,-15,34,30,26,-23,39,43,-13,110
165,17,9,-109,140,35,-20,-74,56,8,-15,22,31,26,-25,38,41,-13,115
170,21,4,-113,143,36,-19,-79,52,17,-12,6,33,21,-23,31,35,-11,113
172,20,0,-111,143,37,-16,-82,47,21,-8,-10,34,14,-18,20,22,-11,104
169,16,-3,-102,141,36,-12,-86,41,20,-4,-18,34,8,-12,9,8,-11,94
164,9,-4,-92,140,34,-9,-88,36,16,-3,-15,34,4,-4,0,0,-11,88
157,3,-1,-81,138,34,-9,-86,33,9,-3,-3,32,2,3,-2,-1,-11,84
149,0,4,-72,137,32,-8,-81,31,1,-4,13,29,3,7,2,2,-12,82
142,-1,7,-66,137,29,-7,-77,29,-4,-4,28,25,6,5,13,8,-12,85
136,-1,8,-63,136,24,-7,-73,27,-5,-2,38,21,8,1,28,17,-11,90
133,-1,6,-61,132,17,-5,-67,23,-6,2,43,15,10,-6,42,24,-11,90
132,-1,3,-60,127,10,-1,-62,20,-8,5,42,9,11,-12,50,24,-11,86
132,2,0,-64,121,5,5,-62,19,-7,7,35,3,14,-15,53,17,-13,79
132,7,-3,-73,116,2,8,-63,20,-4,8,26,-2,18,-17,49,9,-15,71
129,14,-4,-83,110,3,8,-64,23,0,6,16,-3,24,-16,40,2,-18,65
125,22,-3,-92,104,5,7,-64,27,7,4,6,-2,31,-13,28,-4,-20,60
119,28,-3,-98,99,6,4,-64,31,14,4,-3,1,38,-10,17,-5,-23,58
111,30,-4,-104,94,7,0,-66,34,20,3,-9,5,42,-6,7,-2,-23,63
106,28,-9,-107,88,6,-5,-71,36,21,1,-10,9,43,-2,-2,1,-25,72
103,24,-17,-107,83,5,-8,-78,34,18,-1,-7,10,41,1,-10,0,-26,78
101,21,-25,-106,81,4,-9,-85,30,13,-3,-6,10,38,1,-14,-4,-23,80
98,20,-32,-104,79,4,-10,-91,29,9,-7,-5,10,33,-2,-14,-10,-19,80
94,19,-36,-102,77,5,-11,-96,28,8,-11,-3,9,29,-6,-10,-17,-18,78
88,17,-36,-98,71,8,-11,-98,27,7,-14,1,6,30,-10,-5,-23,-20,75
81,14,-31,-95,65,12,-10,-98,24,8,-14,6,3,33,-13,1,-26,-23,71
74,11,-24,-91,59,16,-8,-95,22,11,-13,10,1,38,-16,6,-27,-27,68
69,10,-17,-85,54,19,-6,-91,22,13,-11,13,2,44,-18,9,-29,-33,61
66,11,-11,-80,50,22,-3,-84,24,14,-7,12,5,49,-20,10,-33,-40,51
64,14,-7,-77,51,20,2,-79,26,15,-3,7,10,47,-21,9,-38,-43,41
64,19,-6,-80,54,14,7,-79,29,16,-3,0,16,39,-20,8,-43,-43,36
63,22,-7,-86,58,5,10,-82,35,13,-5,-5,22,27,-17,6,-45,-41,36
60,21,-7,-94,59,-4,10,-86,40,7,-8,-6,22,18,-14,5,-43,-38,43
54,20,-7,-102,58,-13,7,-88,40,-1,-10,-3,18,14,-10,5,-35,-33,53
48,18,-7,-108,58,-20,1,-86,39,-9,-10,2,11,12,-6,5,-23,-25,63
41,18,-6,-108,58,-23,-9,-80,38,-18,-7,6,3,14,-4,5,-11,-16,69
33,20,-5,-106,56,-20,-19,-75,37,-25,-2,9,-2,19,-4,6,-2,-10,72
26,25,-7,-103,53,-15,-24,-74,36,-27,1,11,-4,23,-6,8,2,-6,75
20,29,-11,-97,49,-9,-25,-73,37,-26,1,10,-2,27,-9,6,1,-3,74
15,32,-13,-88,45,-5,-23,-71,41,-23,-2,6,2,30,-11,2,-2,-1,68
14,31,-13,-80,42,-4,-21,-66,47,-17,-6,2,8,32,-11,-4,-6,-5,59
14,28,-10,-75,43,-7,-19,-59,51,-8,-10,-4,14,34,-10,-9,-12,-12,46
17,25,-4,-73,50,-15,-18,-52,55,0,-12,-9,21,33,-7,-12,-18,-22,33
22,24,2,-76,62,-23,-19,-48,58,7,-12,-13,26,32,-6,-11,-25,-33,23
29,25,6,-83,73,-30,-18,-50,58,10,-9,-12,27,31,-7,-5,-30,-43,19
34,28,6,-92,81,-34,-16,-55,56,9,-5,-9,25,31,-9,3,-33,-49,22
36,33,4,-99,84,-35,-13,-63,54,2,-3,-5,20,33,-13,8,-33,-47,30
37,35,0,-103,81,-32,-12,-69,53,-8,-3,-1,14,35,-17,8,-29,-39,39
37,35,-4,-102,76,-26,-14,-70,55,-18,-4,1,9,38,-21,8,-21,-28,49
38,32,-8,-99,72,-22,-17,-72,58,-23,-7,3,9,37,-26,9,-11,-17,60
41,27,-13,-94,73,-19,-20,-73,59,-20,-13,3,14,35,-32,11,-1,-6,72
47,22,-14,-88,77,-19,-20,-72,59,-11,-20,3,21,32,-36,13,7,2,78
54,18,-13,-84,82,-22,-17,-69,55,-1,-25,3,26,27,-37,15,10,4,79
59,16,-10,-84,86,-24,-13,-67,49,7,-28,5,29,21,-33,16,9,0,75
60,18,-6,-87,85,-25,-7,-68,43,10,-26,9,31,15,-25,15,3,-7,71
56,24,-3,-92,81,-23,-2,-69,40,7,-20,12,33,12,-20,12,-3,-12,66
51,31,-2,-96,75,-21,-1,-69,40,0,-12,12,34,13,-18,10,-7,-15,62
44,40,-4,-98,72,-17,-5,-67,42,-8,-4,13,37,12,-17,10,-5,-14,61
39,47,-6,-97,72,-14,-9,-65,47,-16,1,13,40,12,-19,13,-1,-9,63
35,52,-8,-94,74,-14,-13,-62,55,-22,1,15,42,11,-20,16,4,-5,65
34,52,-9,-90,77,-14,-17,-58,62,-24,-3,18,45,8,-19,19,6,-6,64
35,48,-10,-86,77,-14,-19,-57,67,-21,-10,21,49,4,-13,18,7,-9,63
35,44,-10,-86,76,-13,-17,-63,71,-14,-17,22,52,2,-6,14,5,-11,67
33,42,-11,-89,72,-12,-11,-73,72,-4,-23,19,53,3,1,6,2,-10,74
31,43,-11,-92,68,-11,-6,-81,69,6,-27,14,53,8,5,-3,-1,-8,79
29,44,-11,-95,67,-10,-3,-87,63,14,-26,8,50,14,5,-10,-5,-8,81
27,45,-12,-96,66,-11,-2,-89,57,17,-21,6,45,20,6,-12,-8,-12,80
27,45,-15,-92,69,-16,-1,-87,49,17,-14,7,39,22,9,-10,-11,-19,75
31,44,-18,-87,74,-20,-2,-83,42,13,-6,10,33,20,10,-5,-17,-30,66
37,41,-22,-82,79,-21,-4,-79,35,8,0,16,28,18,12,2,-23,-43,55
45,39,-25,-78,83,-20,-5,-78,29,4,2,22,20,16,14,7,-31,-51,47
55,40,-28,-79,88,-16,-3,-81,27,2,-2,26,13,15,14,8,-38,-53,42
65,44,-31,-83,92,-11,0,-85,31,-1,-9,27,11,17,12,8,-44,-51,40
73,46,-33,-87,94,-8,2,-88,38,-3,-16,27,11,20,8,6,-45,-44,43
76,46,-34,-89,93,-9,3,-88,44,-5,-22,23,13,20,5,2,-38,-32,49
73,47,-34,-89,92,-13,4,-86,49,-7,-26,19,13,18,4,0,-29,-20,57
63,49,-35,-85,90,-21,6,-83,51,-10,-26,16,14,16,2,-1,-20,-11,62
50,50,-36,-80,85,-28,8,-81,49,-12,-25,15,13,13,1,-1,-16,-6,64
35,52,-35,-75,79,-31,8,-79,43,-11,-22,13,15,10,1,-2,-16,-4,62
24,57,-35,-70,74,-30,8,-76,38,-9,-18,11,19,7,2,-5,-19,-5,57
18,61,-34,-67,69,-26,8,-73,36,-7,-12,10,26,4,3,-6,-23,-8,49
17,61,-30,-69,64,-20,3,-68,39,-8,-5,7,33,2,5,-8,-23,-8,45
20,59,-26,-73,61,-13,-5,-63,43,-13,2,3,37,2,6,-11,-14,-3,49
25,56,-23,-78,59,-9,-9,-60,51,-19,6,2,39,4,7,-11,-4,2,55
30,53,-22,-80,58,-9,-9,-60,57,-24,7,4,38,8,8,-10,1,4,61
32,54,-23,-83,60,-10,-7,-63,57,-24,7,6,35,11,10,-10,3,6,66
31,57,-26,-84,64,-15,-2,-69,52,-22,10,7,33,12,13,-10,1,6,69
26,60,-25,-84,68,-21,6,-75,44,-19,18,7,33,12,14,-9,-6,5,69
18,61,-19,-83,69,-24,12,-80,33,-18,27,5,31,11,16,-9,-14,5,66
9,59,-10,-84,67,-26,16,-83,23,-18,36,1,26,11,16,-11,-20,9,62
2,54,1,-85,63,-27,19,-83,17,-22,40,-3,19,11,15,-12,-23,15,60
-2,47,8,-85,57,-26,19,-82,17,-27,38,-5,14,11,13,-15,-26,17,55
-2,42,10,-86,50,-24,18,-80,21,-28,29,-5,12,11,10,-16,-31,15,48
0,39,7,-88,43,-20,15,-79,24,-25,17,-4,10,13,5,-15,-35,8,43
0,39,0,-90,35,-17,11,-80,25,-20,8,-1,9,15,-2,-11,-36,0,43
-4,40,-8,-91,26,-15,9,-83,24,-16,1,5,9,16,-5,-5,-35,-9,48
-10,41,-14,-91,17,-14,10,-87,18,-10,-3,14,9,15,-5,0,-31,-15,55
-17,42,-16,-87,12,-14,11,-86,8,-5,-5,22,8,14,-3,2,-26,-15,59
-20,43,-13,-82,12,-15,11,-80,-2,-1,-4,28,7,11,2,1,-22,-10,58
-19,41,-9,-79,17,-18,9,-73,-9,-1,-3,32,9,5,7,-3,-18,-2,54
-12,36,-5,-78,27,-23,6,-68,-13,-2,1,30,13,-1,13,-10,-15,7,52
0,30,-4,-78,39,-27,1,-65,-14,-3,5,26,17,-3,15,-15,-13,15,51
12,24,-5,-78,49,-28,-4,-65,-11,-3,6,24,19,0,14,-16,-10,21,54
21,20,-11,-76,55,-28,-7,-66,-4,-3,6,23,19,7,10,-14,-6,22,60
24,20,-18,-68,55,-25,-9,-63,3,-5,7,23,18,15,5,-9,-1,20,61
24,24,-26,-58,51,-20,-9,-59,11,-8,8,23,16,22,-2,-2,2,16,60
22,27,-31,-51,45,-15,-7,-56,20,-14,7,23,15,25,-8,4,3,12,59
19,29,-30,-48,39,-12,-4,-53,29,-21,6,21,14,20,-8,8,4,9,57
16,29,-26,-50,34,-13,1,-52,35,-28,5,16,13,11,-4,9,5,10,56
16,26,-19,-57,32,-15,6,-57,38,-29,1,14,13,1,2,8,3,11,60
19,23,-13,-67,35,-17,9,-66,38,-26,-5,16,13,-6,7,8,3,13,68
22,18,-8,-73,40,-18,9,-72,35,-20,-9,17,11,-5,8,9,6,16,77
23,16,-5,-77,44,-17,7,-77,29,-14,-7,17,9,-1,5,11,9,21,86
20,16,-4,-79,45,-14,5,-83,21,-10,-1,15,6,3,2,15,11,24,94
14,17,-4,-81,41,-10,0,-86,12,-7,5,14,0,7,-3,19,13,25,99
4,18,-4,-83,32,-4,-6,-86,4,-6,6,13,-10,13,-8,21,14,25,99
-9,20,-3,-84,17,1,-10,-83,-2,-6,3,12,-22,19,-11,20,12,24,95
-25,22,-5,-83,-1,1,-13,-79,-8,-6,-5,12,-32,21,-13,17,12,22,90
-44,22,-12,-80,-16,-6,-17,-75,-13,-6,-17,13,-40,19,-13,10,15,24,90
-62,21,-21,-79,-28,-17,-21,-73,-16,-6,-29,13,-44,18,-13,2,24,29,96
-80,20,-31,-78,-37,-32,-26,-75,-20,-5,-36,13,-44,13,-13,-4,34,38,109
-95,18,-41,-80,-43,-47,-27,-81,-27,-2,-39,13,-40,4,-13,-5,43,48,124
-106,14,-47,-84,-49,-58,-25,-91,-32,1,-37,15,-35,-5,-12,-1,48,55,138
-116,10,-51,-89,-59,-64,-21,-101,-39,2,-30,17,-35,-11,-13,8,47,58,147
-128,5,-53,-92,-75,-68,-17,-108,-52,0,-20,18,-43,-14,-17,20,41,55,149
-150,0,-57,-93,-100,-75,-13,-112,-71,-5,-10,17,-63,-16,-21,29,33,49,145
-185,-6,-63,-94,-134,-86,-12,-115,-99,-13,-4,13,-95,-17,-26,33,25,41,140
-229,-11,-72,-96,-173,-101,-17,-117,-136,-21,-3,6,-138,-16,-33,33,20,34,137
-273,-16,-83,-98,-210,-118,-25,-117,-180,-25,-7,-1,-184,-16,-40,28,19,29,136
-314,-19,-92,-102,-241,-136,-31,-117,-224,-24,-14,-6,-225,-19,-44,20,20,26,137
-344,-21,-95,-105,-263,-153,-32,-117,-262,-20,-21,-10,-256,-23,-46,12,20,22,137
-361,-22,-92,-106,-275,-165,-30,-113,-290,-15,-26,-11,-277,-26,-47,8,19,15,131
-368,-23,-87,-104,-277,-173,-24,-107,-307,-11,-27,-11,-289,-28,-45,8,15,5,121
